,0
0,3
1,9
2,4
3,9
4,2
5,4
6,8
7,3
8,6
9,10
10,4
11,7
12,2
13,9
14,9
15,5
16,2
17,5
18,6
19,6
20,4
21,4
22,2
23,6
24,5
25,6
26,4
27,9
28,4
29,4
30,2
31,6
32,9
33,4
34,9
35,6
36,9
37,2
38,5
39,4
40,8
41,4
42,8
43,9
44,5
45,6
46,2
47,6
48,9
49,6
50,4
51,5
52,6
53,6
54,2
55,6
56,8
57,9
58,6
59,4
60,4
61,2
62,5
63,6
64,4
65,5
66,5
67,2
68,9
69,5
70,6
71,5
72,0
73,4
74,2
75,4
76,2
77,4
78,8
79,4
80,4
81,5
82,9
83,5
84,4
85,8
86,5
87,4
88,9
89,2
90,7
91,2
92,9
93,4
94,8
95,0
96,2
97,9
98,4
99,4
100,8
101,0
102,4
103,5
104,2
105,8
106,9
107,4
108,4
109,9
110,8
111,2
112,4
113,4
114,9
115,4
116,8
117,2
118,6
119,6
120,9
121,4
122,5
123,4
124,2
125,5
126,9
127,4
128,2
129,6
130,4
131,8
132,4
133,4
134,4
135,6
136,10
137,4
138,4
139,4
140,4
141,6
142,7
143,4
144,4
145,4
146,4
147,2
148,9
149,7
150,2
151,3
152,6
153,9
154,4
155,4
156,5
157,10
158,9
159,4
160,2
161,5
162,7
163,4
164,9
165,6
166,9
167,5
168,5
169,3
170,10
171,8
172,2
173,9
174,0
175,2
176,9
177,6
178,6
179,4
180,6
181,4
182,8
183,2
184,0
185,2
186,4
187,6
188,5
189,3
190,4
191,6
192,4
193,0
194,2
195,4
196,7
197,6
198,9
199,7
200,4
201,9
202,4
203,4
204,4
205,9
206,4
207,9
208,5
209,9
210,6
211,7
212,6
213,8
214,6
215,7
216,8
217,1
218,6
219,1
220,9
221,2
222,9
223,7
224,6
225,4
226,2
227,3
228,7
229,4
230,2
231,4
232,4
233,8
234,8
235,6
236,5
237,4
238,0
239,5
240,7
241,0
242,9
243,4
244,3
245,5
246,6
247,0
248,8
249,5
250,4
251,5
252,4
253,6
254,8
255,0
256,3
257,4
258,4
259,6
260,4
261,4
262,9
263,0
264,2
265,3
266,4
267,2
268,4
269,2
270,10
271,8
272,4
273,9
274,2
275,4
276,4
277,0
278,0
279,8
280,7
281,4
282,9
283,4
284,5
285,7
286,4
287,6
288,5
289,4
290,0
291,9
292,6
293,4
294,5
295,6
296,4
297,5
298,6
299,2
300,3
301,5
302,9
303,6
304,9
305,5
306,9
307,7
308,6
309,6
310,2
311,3
312,4
313,2
314,4
315,7
316,0
317,0
318,2
319,2
320,6
321,5
322,2
323,4
324,2
325,4
326,1
327,2
328,6
329,4
330,0
331,6
332,2
333,9
334,9
335,6
336,8
337,5
338,2
339,7
340,6
341,4
342,7
343,4
344,7
345,6
346,0
347,6
348,6
349,7
350,6
351,4
352,3
353,4
354,6
355,9
356,4
357,8
358,6
359,4
360,4
361,0
362,4
363,4
364,8
365,5
366,9
367,6
368,6
369,4
370,3
371,3
372,5
373,9
374,8
375,4
376,8
377,0
378,9
379,8
380,5
381,2
382,2
383,3
384,6
385,2
386,9
387,8
388,5
389,4
390,6
391,2
392,8
393,9
394,6
395,5
396,8
397,6
398,2
399,8
400,7
401,9
402,4
403,7
404,9
405,9
406,2
407,4
408,8
409,2
410,9
411,7
412,7
413,8
414,7
415,8
416,6
417,4
418,4
419,3
420,4
421,0
422,4
423,4
424,9
425,4
426,5
427,4
428,6
429,4
430,6
431,4
432,2
433,6
434,8
435,3
436,2
437,6
438,2
439,4
440,9
441,4
442,4
443,4
444,8
445,9
446,4
447,6
448,7
449,4
450,6
451,7
452,4
453,8
454,5
455,0
456,4
457,6
458,5
459,9
460,9
461,9
462,4
463,9
464,2
465,4
466,4
467,4
468,5
469,9
470,6
471,3
472,4
473,9
474,4
475,2
476,10
477,9
478,8
479,7
480,4
481,2
482,9
483,8
484,4
485,9
486,4
487,9
488,9
489,2
490,0
491,5
492,9
493,4
494,5
495,6
496,2
497,9
498,4
499,8
500,6
501,2
502,4
503,5
504,2
505,7
506,4
507,4
508,0
509,0
510,4
511,9
512,0
513,7
514,9
515,6
516,4
517,4
518,6
519,5
520,2
521,0
522,4
523,10
524,2
525,2
526,2
527,0
528,2
529,6
530,4
531,6
532,6
533,2
534,1
535,10
536,4
537,4
538,6
539,7
540,6
541,9
542,8
543,4
544,5
545,2
546,5
547,2
548,8
549,6
550,4
551,9
552,9
553,7
554,8
555,3
556,4
557,8
558,6
559,4
560,4
561,5
562,4
563,4
564,5
565,4
566,7
567,4
568,8
569,4
570,4
571,4
572,5
573,4
574,4
575,4
576,1
577,3
578,0
579,4
580,10
581,4
582,9
583,8
584,5
585,3
586,7
587,4
588,4
589,4
590,10
591,9
592,6
593,2
594,5
595,0
596,0
597,4
598,7
599,4
600,6
601,9
602,9
603,4
604,2
605,5
606,9
607,6
608,4
609,6
610,4
611,10
612,4
613,4
614,2
615,9
616,4
617,8
618,3
619,0
620,9
621,5
622,7
623,9
624,2
625,4
626,4
627,1
628,2
629,4
630,4
631,9
632,5
633,4
634,5
635,4
636,7
637,4
638,5
639,8
640,9
641,2
642,2
643,9
644,7
645,6
646,5
647,4
648,0
649,9
650,4
651,4
652,0
653,4
654,2
655,4
656,0
657,6
658,4
659,7
660,1
661,6
662,5
663,5
664,9
665,6
666,4
667,9
668,1
669,7
670,6
671,6
672,0
673,4
674,4
675,4
676,3
677,9
678,4
679,5
680,0
681,2
682,6
683,0
684,9
685,9
686,5
687,0
688,8
689,2
690,4
691,10
692,8
693,9
694,5
695,8
696,0
697,5
698,9
699,4
700,9
701,7
702,9
703,4
704,2
705,9
706,2
707,10
708,4
709,0
710,4
711,4
712,4
713,9
714,6
715,2
716,5
717,7
718,6
719,7
720,9
721,8
722,2
723,6
724,5
725,0
726,7
727,4
728,0
729,4
730,0
731,4
732,6
733,4
734,2
735,4
736,0
737,4
738,4
739,4
740,6
741,6
742,9
743,4
744,0
745,4
746,6
747,4
748,5
749,7
750,8
751,9
752,9
753,9
754,8
755,4
756,4
757,4
758,5
759,8
760,7
761,9
762,4
763,6
764,7
765,4
766,2
767,6
768,5
769,6
770,5
771,4
772,5
773,4
774,4
775,4
776,6
777,6
778,7
779,4
780,4
781,8
782,5
783,2
784,6
785,7
786,1
787,6
788,6
789,9
790,4
791,10
792,2
793,6
794,7
795,7
796,4
797,8
798,6
799,8
800,4
801,5
802,2
803,6
804,2
805,2
806,7
807,10
808,4
809,4
810,5
811,2
812,0
813,2
814,2
815,2
816,9
817,6
818,4
819,6
820,4
821,5
822,4
823,6
824,2
825,6
826,4
827,9
828,7
829,9
830,4
831,0
832,4
833,2
834,4
835,8
836,9
837,0
838,4
839,5
840,9
841,5
842,4
843,0
844,4
845,4
846,9
847,8
848,5
849,9
850,5
851,2
852,4
853,7
854,1
855,8
856,6
857,4
858,4
859,7
860,9
861,4
862,8
863,4
864,4
865,6
866,0
867,10
868,8
869,3
870,0
871,0
872,6
873,10
874,9
875,2
876,4
877,4
878,6
879,4
880,4
881,8
882,2
883,4
884,4
885,0
886,5
887,2
888,4
889,5
890,10
891,6
892,0
893,2
894,5
895,4
896,6
897,2
898,6
899,6
900,4
901,5
902,4
903,3
904,6
905,9
906,4
907,2
908,5
909,6
910,2
911,10
912,6
913,4
914,6
915,9
916,2
917,4
918,5
919,4
920,6
921,4
922,8
923,6
924,4
925,6
926,4
927,4
928,4
929,2
930,4
931,4
932,8
933,6
934,4
935,2
936,4
937,3
938,4
939,9
940,0
941,2
942,4
943,6
944,6
945,6
946,4
947,9
948,4
949,9
950,8
951,6
952,7
953,2
954,2
955,5
956,3
957,8
958,9
959,4
960,2
961,9
962,4
963,9
964,2
965,8
966,6
967,9
968,1
969,3
970,8
971,4
972,8
973,2
974,8
975,4
976,2
977,2
978,2
979,5
980,6
981,5
982,4
983,8
984,6
985,3
986,2
987,0
988,4
989,6
990,4
991,6
992,6
993,5
994,6
995,8
996,4
997,8
998,4
999,4
1000,5
1001,2
1002,4
1003,8
1004,8
1005,6
1006,8
1007,9
1008,10
1009,5
1010,4
1011,9
1012,3
1013,4
1014,5
1015,6
1016,5
1017,9
1018,6
1019,4
1020,9
1021,4
1022,5
1023,4
1024,6
1025,7
1026,0
1027,9
1028,5
